Name,Roll,Book,ISBN,Idate,Itime,Rdate,Rtime
David,1,IOT,9789391567705,26-03-2022,16:57,Null,Null
Andrew,6,IOT,9789391567705,26-03-2022,17:03,Null,Null
David,1,IOT,9789391567705,26-03-2022,17:50,Null,Null
David,1,MIS,9789355850287,26-03-2022,17:50,Null,Null
James,5,MIS,9789355850287,26-03-2022,17:53,26-03-2022,17:58
John,2,MIS,9789355850287,26-03-2022,17:54,26-03-2022,17:57
Paul,3,MIS,9789355850287,26-03-2022,18:00,Null,Null
John,2,MIS,9789355850287,26-03-2022,18:01,Null,Null
Mark,4,MIS,9789355850287,26-03-2022,18:13,Null,Null
Mark,4,Software Engineering,9789390428618,02-04-2022,11:20,Null,Null
